"id","year","season","scheme","state_name","state_code","district_name","district_code","farmer_count","loanee","non_loanee","area_insured","sum_insured","farmer_share","goi_share","state_share","male","female","transgender","sc","st","obc","gen","marginal","small","other","iu_count","gross_premium"
44,"2018","Kharif","PMFBY","Assam","18","Sonitpur","301.0",1149.0,1169.0,0.0,0.88,528.42,10.3,0.0,0.0,89.14,10.86,0.0,1.03,7.61,8.73,82.63,35.07,63.05,1.88,6.0,10.3
45,"2018","Kharif","PMFBY","Assam","18","Tinsukia","302.0",3311.0,2677.0,643.0,2.17,1298.54,25.97,14.41,14.41,89.16,10.78,0.06,0.51,5.6,88.01,5.88,74.46,25.48,0.06,4.0,54.79
46,"2018","Kharif","PMFBY","Assam","18","Udalguri","617.0",180.0,181.0,0.0,0.21,128.39,2.57,1.01,1.01,96.13,3.87,0.0,0.0,46.41,16.57,37.02,37.57,61.33,1.1,2.0,4.59
47,"2018","Kharif","PMFBY","Chhattisgarh","22","Balod","646.0",85340.0,89790.0,2505.0,130.51,48923.28,978.47,2054.44,2054.44,87.14,12.78,0.08,4.91,30.07,58.75,6.27,32.67,46.79,20.54,429.0,5087.35
48,"2018","Kharif","PMFBY","Chhattisgarh","22","Baloda Bazar","644.0",86032.0,97676.0,4414.0,125.36,47272.46,945.45,2165.07,2165.07,89.3,10.66,0.04,19.58,11.13,64.93,4.36,14.03,74.37,11.6,623.0,5275.59
49,"2018","Kharif","PMFBY","Chhattisgarh","22","Balrampur","649.0",11274.0,11135.0,857.0,27.23,7304.32,146.09,110.64,110.64,90.85,9.0,0.15,1.96,46.21,30.82,21.01,24.45,48.82,26.73,403.0,367.37
50,"2018","Kharif","PMFBY","Chhattisgarh","22","Bastar","374.0",27411.0,19266.0,10875.0,43.55,13082.7,261.65,456.53,456.53,82.91,17.02,0.07,1.5,70.54,16.21,11.75,22.76,61.88,15.36,332.0,1174.71
51,"2018","Kharif","PMFBY","Chhattisgarh","22","Bemetara","650.0",81033.0,95975.0,9589.0,148.13,52787.52,1055.75,3041.97,3041.97,89.31,10.6,0.09,11.97,2.51,76.92,8.6,17.82,59.95,22.23,399.0,7139.69
52,"2018","Kharif","PMFBY","Chhattisgarh","22","Bijapur","636.0",5069.0,4802.0,541.0,13.37,3748.2,74.96,200.68,200.68,82.13,17.74,0.13,7.47,76.1,10.63,5.8,25.23,62.04,12.73,129.0,476.32
53,"2018","Kharif","PMFBY","Chhattisgarh","22","Bilaspur","375.0",49743.0,47143.0,5710.0,82.71,32996.14,659.92,1580.84,1580.84,88.36,11.53,0.11,17.89,17.53,54.87,9.71,19.27,58.45,22.28,650.0,3821.6
54,"2018","Kharif","PMFBY","Chhattisgarh","22","Dakshin Bastar Dantewada","nan",8643.0,1761.0,7544.0,21.03,5676.15,113.52,283.82,283.82,87.64,12.32,0.04,3.31,77.23,15.86,3.6,26.15,59.15,14.7,124.0,681.16
55,"2018","Kharif","PMFBY","Chhattisgarh","22","Dhamtari","377.0",62684.0,64730.0,8755.0,81.85,33748.37,674.97,1074.12,1074.12,87.98,11.97,0.05,4.57,27.05,64.75,3.63,17.99,63.26,18.75,369.0,2823.21
56,"2018","Kharif","PMFBY","Chhattisgarh","22","Durg","378.0",60773.0,69781.0,2034.0,96.0,39838.56,796.77,1426.47,1426.47,86.34,13.56,0.1,8.9,3.28,80.8,7.02,20.83,55.05,24.12,337.0,3649.71
57,"2018","Kharif","PMFBY","Chhattisgarh","22","Gariyaband","645.0",38788.0,39209.0,6629.0,61.17,21988.82,439.78,934.33,934.33,87.75,12.16,0.09,5.96,36.91,53.13,4.0,16.53,67.9,15.57,337.0,2308.44
58,"2018","Kharif","PMFBY","Chhattisgarh","22","Janjgir - Champa","379.0",63286.0,66088.0,202.0,110.23,48794.87,975.9,777.84,777.84,90.36,9.55,0.09,21.78,8.62,63.58,6.02,21.04,60.62,18.34,649.0,2531.58
59,"2018","Kharif","PMFBY","Chhattisgarh","22","Jashpur","380.0",8991.0,8889.0,700.0,19.85,5160.51,103.21,77.55,77.55,93.4,6.39,0.21,4.85,58.47,30.81,5.87,19.71,49.63,30.66,420.0,258.31
60,"2018","Kharif","PMFBY","Chhattisgarh","22","Kabeerdham","nan",57929.0,67666.0,2468.0,94.97,35812.03,716.24,2776.45,2776.45,90.68,9.16,0.16,8.16,10.61,73.57,7.66,19.1,58.14,22.76,466.0,6269.14
61,"2018","Kharif","PMFBY","Chhattisgarh","22","Kondagaon","643.0",21936.0,16749.0,5782.0,33.92,10163.17,203.26,418.61,418.61,87.24,12.68,0.08,2.09,74.11,20.98,2.82,15.61,73.01,11.38,297.0,1040.48
62,"2018","Kharif","PMFBY","Chhattisgarh","22","Korba","383.0",14591.0,13965.0,1856.0,31.79,10376.31,207.53,261.55,261.55,90.63,9.21,0.16,7.05,58.89,30.88,3.18,30.19,47.2,22.61,405.0,730.63
63,"2018","Kharif","PMFBY","Chhattisgarh","22","Koriya","nan",13846.0,12333.0,2420.0,23.88,6512.62,130.25,412.84,412.84,88.94,10.67,0.39,3.74,50.88,37.6,7.78,6.52,54.98,38.5,298.0,955.93
64,"2018","Kharif","PMFBY","Chhattisgarh","22","Mahasamund","385.0",75540.0,75757.0,9748.0,151.02,52685.46,1053.71,2313.6,2313.6,87.16,12.76,0.08,8.12,21.88,65.58,4.42,22.19,55.14,22.67,558.0,5680.91
65,"2018","Kharif","PMFBY","Chhattisgarh","22","Mungeli","647.0",27626.0,29335.0,668.0,51.94,20651.17,413.02,329.33,329.33,90.94,8.95,0.11,24.24,4.84,56.92,14.0,18.86,62.17,18.97,350.0,1071.68
66,"2018","Kharif","PMFBY","Chhattisgarh","22","Narayanpur","637.0",2034.0,1983.0,197.0,3.91,1172.56,23.45,64.73,64.73,87.52,12.43,0.05,7.66,69.36,16.88,6.1,26.19,50.96,22.85,59.0,152.91
67,"2018","Kharif","PMFBY","Chhattisgarh","22","Raigarh","386.0",49500.0,47666.0,4781.0,101.79,28899.08,577.98,959.02,959.02,92.1,7.74,0.16,8.64,23.11,62.17,6.08,28.36,44.26,27.38,738.0,2496.02
68,"2018","Kharif","PMFBY","Chhattisgarh","22","Raipur","387.0",61374.0,70776.0,3073.0,88.41,37187.59,743.75,1351.77,1351.77,87.58,12.36,0.06,15.24,3.0,77.0,4.76,16.65,64.62,18.73,425.0,3447.29
69,"2018","Kharif","PMFBY","Chhattisgarh","22","Rajnandgaon","388.0",177720.0,163481.0,53461.0,284.84,103413.33,2068.27,7595.33,7595.33,86.59,13.33,0.08,5.87,23.06,66.64,4.43,21.58,59.32,19.1,836.0,17258.93
70,"2018","Kharif","PMFBY","Chhattisgarh","22","Sukma","642.0",2886.0,2410.0,742.0,7.84,2116.18,42.32,137.49,137.49,89.78,10.15,0.07,0.19,78.93,6.73,14.15,24.14,46.03,29.83,107.0,317.3
71,"2018","Kharif","PMFBY","Chhattisgarh","22","Surajpur","648.0",19702.0,17815.0,3322.0,33.94,9166.01,183.32,274.75,274.75,91.73,8.05,0.22,1.93,44.96,45.67,7.44,22.79,64.53,12.68,421.0,732.82
72,"2018","Kharif","PMFBY","Chhattisgarh","22","Surguja","389.0",25942.0,20243.0,7850.0,31.36,8576.48,171.53,90.97,90.97,90.15,9.65,0.2,2.71,67.86,22.97,6.46,15.2,55.84,28.96,403.0,353.47
73,"2018","Kharif","PMFBY","Chhattisgarh","22","Uttar Bastar Kanker","nan",53896.0,43825.0,12161.0,96.35,29787.0,595.74,1168.12,1168.12,80.02,19.89,0.09,2.66,58.04,22.49,16.81,20.14,62.38,17.48,430.0,2931.98
74,"2018","Kharif","WBCIS","Chhattisgarh","22","Balod","646.0",238.0,39.0,312.0,0.19,143.58,7.18,13.71,13.71,86.89,13.11,0.0,3.7,17.95,67.24,11.11,5.13,84.33,10.54,7.0,34.6
75,"2018","Kharif","WBCIS","Chhattisgarh","22","Baloda Bazar","644.0",222.0,11.0,280.0,0.06,47.42,2.37,4.74,4.74,90.03,9.97,0.0,13.75,18.56,51.89,15.8,1.03,92.44,6.53,12.0,11.85
76,"2018","Kharif","WBCIS","Chhattisgarh","22","Balrampur","649.0",215.0,6.0,326.0,0.03,22.27,1.11,1.96,1.96,89.16,10.24,0.6,0.6,62.35,13.25,23.8,3.61,93.98,2.41,8.0,5.03
77,"2018","Kharif","WBCIS","Chhattisgarh","22","Bastar","374.0",182.0,71.0,148.0,0.23,169.22,8.46,19.02,19.02,93.15,6.85,0.0,3.65,49.32,21.92,25.11,1.37,66.67,31.96,12.0,46.5
78,"2018","Kharif","WBCIS","Chhattisgarh","22","Bemetara","650.0",503.0,574.0,50.0,1.11,753.5,37.68,76.47,76.47,90.38,9.46,0.16,2.56,3.37,67.47,26.6,10.26,26.92,62.82,9.0,190.62
79,"2018","Kharif","WBCIS","Chhattisgarh","22","Bijapur","636.0",16.0,0.0,21.0,0.0,2.3,0.12,0.34,0.34,100.0,0.0,0.0,0.0,14.29,71.43,14.28,14.29,76.19,9.52,1.0,0.79
80,"2018","Kharif","WBCIS","Chhattisgarh","22","Bilaspur","375.0",243.0,72.0,232.0,0.16,155.55,7.78,13.16,13.16,90.46,9.54,0.0,6.25,35.86,27.3,30.59,2.63,78.29,19.08,12.0,34.1
81,"2018","Kharif","WBCIS","Chhattisgarh","22","Dakshin Bastar Dantewada","nan",110.0,1.0,216.0,0.06,62.48,3.12,6.13,6.13,93.55,6.45,0.0,0.46,77.88,13.82,7.84,8.29,85.25,6.46,7.0,15.38
82,"2018","Kharif","WBCIS","Chhattisgarh","22","Dhamtari","377.0",121.0,12.0,155.0,0.05,42.87,2.14,4.15,4.15,91.62,8.38,0.0,2.4,7.78,86.83,2.99,1.8,91.62,6.58,20.0,10.44
83,"2018","Kharif","WBCIS","Chhattisgarh","22","Durg","378.0",787.0,766.0,105.0,1.27,818.99,40.95,77.99,77.99,85.65,14.35,0.0,3.56,1.03,68.77,26.64,13.32,46.15,40.53,11.0,196.93
84,"2018","Kharif","WBCIS","Chhattisgarh","22","Gariyaband","645.0",149.0,12.0,173.0,0.08,62.17,3.11,7.64,7.64,92.43,7.57,0.0,1.62,45.95,45.41,7.02,5.41,88.65,5.94,10.0,18.39
85,"2018","Kharif","WBCIS","Chhattisgarh","22","Janjgir - Champa","379.0",96.0,49.0,91.0,0.07,57.72,2.89,6.06,6.06,92.86,7.14,0.0,10.71,15.0,56.43,17.86,0.0,65.71,34.29,24.0,15.01
86,"2018","Kharif","WBCIS","Chhattisgarh","22","Jashpur","380.0",39.0,0.0,44.0,0.01,6.17,0.31,0.93,0.93,100.0,0.0,0.0,2.27,61.36,27.27,9.1,2.27,97.73,0.0,4.0,2.16
87,"2018","Kharif","WBCIS","Chhattisgarh","22","Kabeerdham","nan",324.0,152.0,278.0,0.48,1004.12,50.21,286.22,286.22,96.05,3.95,0.0,3.02,3.02,78.37,15.59,8.6,68.37,23.03,27.0,622.65
